identificador;asignatura;anho;convocatoria;tipoexam;puntaje
4c475b455ead127e4d41431ef28dd25b;SISTEMAS DISTRIBUIDOS;2014;1;2F   ;73
30b023a9eeac5a142da81b6c1d8a1d22;ORGANIZACION Y ARQUITECTURA DE COMPUTADORAS II;2014;1;1F   ;50
4c475b455ead127e4d41431ef28dd25b;INVESTIGACION DE OPERACIONES II;2014;1;2F   ;75
d0225744c6913485b21043a2a39ac53c;GESTION DE CENTRO DE COMPUTOS;2014;1;2F   ;50
eef17800f55565f0f33bafa0a20f6cb9;PROCESAMIENTO DIGITAL DE IMAGENES II;2014;1;2F   ;90
30b023a9eeac5a142da81b6c1d8a1d22;ALGEBRA LINEAL;2014;1;1F   ;73
7d798da51082fc38df8306db03554d46;REDES DE COMPUTADORAS II;2014;1;2F   ;93
9fb132ec00bff75333bfc06e9343ae43;REDES DE COMPUTADORAS II;2014;1;2F   ;62
2a5d97a1bd6b77c2ce81c63853bd65e7;GESTION DE CENTRO DE COMPUTOS;2014;1;1F   ;35
30b023a9eeac5a142da81b6c1d8a1d22;CALCULO II;2014;1;1F   ;63
2a5d97a1bd6b77c2ce81c63853bd65e7;GESTION DE CENTRO DE COMPUTOS;2014;1;2F   ;60
af96e2fd16b96749f22a365d7ef9843b;CALCULO I;2014;1;2F   ;80
153aadf908ca16281783486085657703;INVESTIGACION DE OPERACIONES I;2014;1;1F   ;97
d0225744c6913485b21043a2a39ac53c;INTELIGENCIA ARTIFICIAL;2014;1;2F   ;54
0be4aed05de1aff749beede31748bbcf;INVESTIGACION DE OPERACIONES I;2014;1;1F   ;92
2a938503aec40432881eb134f1433b21;ALGORITMOS Y ESTRUCTURA DE DATOS I;2014;1;2F   ;70
0be4aed05de1aff749beede31748bbcf;LENGUAJES DE PROGRAMACION III;2014;1;1F   ;88
af96e2fd16b96749f22a365d7ef9843b;CONTABILIDAD;2014;1;2F   ;31
0be4aed05de1aff749beede31748bbcf;REDES DE COMPUTADORAS II;2014;1;1F   ;96
2a938503aec40432881eb134f1433b21;EMPRENDEDORISMO;2014;1;2F   ;78
0be4aed05de1aff749beede31748bbcf;SISTEMAS DISTRIBUIDOS;2014;1;1F   ;90
2a938503aec40432881eb134f1433b21;EXPRESION ORAL Y ESCRITA;2014;1;1F   ;68
0be4aed05de1aff749beede31748bbcf;TECNICAS DE ORGANIZACION Y METODOS;2014;1;1F   ;100
9fb132ec00bff75333bfc06e9343ae43;INVESTIGACION DE OPERACIONES I;2014;1;1F   ;97
0be4aed05de1aff749beede31748bbcf;FISICA 3;2014;1;1F   ;71
2a938503aec40432881eb134f1433b21;ALGORITMOS Y ESTRUCTURA DE DATOS I;2014;1;1F   ;15
153aadf908ca16281783486085657703;LENGUAJES DE PROGRAMACION III;2014;1;1F   ;90
30b023a9eeac5a142da81b6c1d8a1d22;ALGORITMOS Y ESTRUCTURA DE DATOS II;2014;1;2F   ;60
153aadf908ca16281783486085657703;REDES DE COMPUTADORAS II;2014;1;1F   ;94
af96e2fd16b96749f22a365d7ef9843b;ORGANIZACION Y ARQUITECTURA DE COMPUTADORAS II;2014;1;2F   ;57
fd0f3ee59ef40db7e4be251fdf10cebd;EVALUACION DE RENDIMIENTO;2014;1;1F   ;81
a195f74273114a5f0c987cd9ee5fb615;ORGANIZACION Y ARQUITECTURA DE COMPUTADORAS I;2014;1;1F   ;90
fd0f3ee59ef40db7e4be251fdf10cebd;DATA WAREHOUSE I - DISEÑO MULTIDIMENSIONAL;2014;1;1F   ;97
d0225744c6913485b21043a2a39ac53c;INGENIERIA DE SOFTWARE II;2014;1;2F   ;73
fd0f3ee59ef40db7e4be251fdf10cebd;GESTION DE CENTRO DE COMPUTOS;2014;1;1F   ;92
a195f74273114a5f0c987cd9ee5fb615;MATEMATICA DISCRETA;2014;1;1F   ;90
fd0f3ee59ef40db7e4be251fdf10cebd;DIDACTICA UNIVERSITARIA;2014;1;1F   ;92
2a938503aec40432881eb134f1433b21;INGLES;2014;1;2F   ;57
153aadf908ca16281783486085657703;SISTEMAS DISTRIBUIDOS;2014;1;1F   ;87
96c5a998cd3c26fb7ebfb6e6ff4726a0;ECONOMIA Y FINANZAS;2014;1;1F   ;95
153aadf908ca16281783486085657703;FISICA 3;2014;1;1F   ;94
d0225744c6913485b21043a2a39ac53c;EMPRENDEDORISMO;2014;1;2F   ;67
